Menu Item,Ingredient,Quantity Required,Unit
Masala Dosa,Idli Rice,0.08,Kg
Masala Dosa,Urad Dal,0.03,Kg
Masala Dosa,Potato,0.1,Kg
Masala Dosa,Onion,0.05,Kg
Masala Dosa,Cooking Oil,0.02,Ltr
Masala Dosa,Curry Leaves,0.002,Kg
Plain Dosa,Idli Rice,0.08,Kg
Plain Dosa,Urad Dal,0.03,Kg
Plain Dosa,Cooking Oil,0.015,Ltr
Idli Sambar (4 pcs),Idli Rice,0.1,Kg
Idli Sambar (4 pcs),Urad Dal,0.04,Kg
Idli Sambar (4 pcs),Toor Dal,0.05,Kg
Idli Sambar (4 pcs),Onion,0.03,Kg
Idli Sambar (4 pcs),Tomato,0.02,Kg
Medu Vada (2 pcs),Urad Dal,0.08,Kg
Medu Vada (2 pcs),Cooking Oil,0.05,Ltr
Medu Vada (2 pcs),Curry Leaves,0.002,Kg
Uttapam,Idli Rice,0.1,Kg
Uttapam,Urad Dal,0.04,Kg
Uttapam,Onion,0.05,Kg
Uttapam,Tomato,0.03,Kg
Uttapam,Capsicum,0.02,Kg
Pongal,Basmati Rice,0.1,Kg
Pongal,Toor Dal,0.03,Kg
Pongal,Ghee,0.03,Kg
Rava Dosa,Semolina (Rava),0.08,Kg
Rava Dosa,Onion,0.03,Kg
Rava Dosa,Curry Leaves,0.002,Kg
Rava Dosa,Cooking Oil,0.02,Ltr
Set Dosa (3 pcs),Idli Rice,0.12,Kg
Set Dosa (3 pcs),Urad Dal,0.05,Kg
Set Dosa (3 pcs),Cooking Oil,0.02,Ltr
Paneer Butter Masala,Paneer,0.15,Kg
Paneer Butter Masala,Tomato,0.12,Kg
Paneer Butter Masala,Onion,0.08,Kg
Paneer Butter Masala,Ghee,0.03,Kg
Paneer Butter Masala,Curd,0.03,Kg
Dal Makhani,Urad Dal,0.1,Kg
Dal Makhani,Tomato,0.05,Kg
Dal Makhani,Ghee,0.04,Kg
Dal Makhani,Curd,0.02,Kg
Chole Bhature,Chana Dal,0.12,Kg
Chole Bhature,Atta (Wheat Flour),0.1,Kg
Chole Bhature,Onion,0.05,Kg
Chole Bhature,Tomato,0.04,Kg
Chole Bhature,Cooking Oil,0.08,Ltr
Palak Paneer,Paneer,0.12,Kg
Palak Paneer,Onion,0.05,Kg
Palak Paneer,Tomato,0.03,Kg
Palak Paneer,Ghee,0.02,Kg
Aloo Paratha,Atta (Wheat Flour),0.1,Kg
Aloo Paratha,Potato,0.12,Kg
Aloo Paratha,Ghee,0.02,Kg
Kadai Paneer,Paneer,0.15,Kg
Kadai Paneer,Capsicum,0.08,Kg
Kadai Paneer,Onion,0.06,Kg
Kadai Paneer,Tomato,0.08,Kg
Veg Biryani,Basmati Rice,0.15,Kg
Veg Biryani,Onion,0.08,Kg
Veg Biryani,Potato,0.05,Kg
Veg Biryani,Green Peas,0.03,Kg
Veg Biryani,Curd,0.04,Kg
Veg Biryani,Ghee,0.03,Kg
Mixed Veg Curry,Potato,0.08,Kg
Mixed Veg Curry,Green Peas,0.05,Kg
Mixed Veg Curry,Onion,0.05,Kg
Mixed Veg Curry,Tomato,0.06,Kg
Mixed Veg Curry,Capsicum,0.04,Kg
Malai Kofta,Paneer,0.12,Kg
Malai Kofta,Potato,0.08,Kg
Malai Kofta,Onion,0.06,Kg
Malai Kofta,Tomato,0.08,Kg
Malai Kofta,Curd,0.05,Kg
Malai Kofta,Ghee,0.03,Kg
Butter Naan,Atta (Wheat Flour),0.08,Kg
Butter Naan,Ghee,0.015,Kg
Butter Naan,Curd,0.02,Kg
Roti,Atta (Wheat Flour),0.05,Kg
Roti,Ghee,0.005,Kg
Jeera Rice,Basmati Rice,0.12,Kg
Jeera Rice,Ghee,0.02,Kg
